YEAR,MAKE,MODEL,TRIM,BODY,TRANSMISSION,VIN,STATE,CONDITION,COLOR,INTERIOR,SELLER,MMR,SELLINGPRICE,SALEDATE,SALE_DATE,PROFIT,ODOMETER
2014,Cadillac,XTS,Premium,sedan,automatic,2g61p5s38e9269660,ca,49,white,black,richard j bartlett jr enterprises,36600,39500,2015-06-04T05:30:00-07:00,30:00.0,2900,8866
2014,Chevrolet,Silverado 1500,LT,double cab,automatic,1gcvkrec3ez252643,tn,49,â€”,black,t & s motors,29000,29600,2015-06-03T03:30:00-07:00,30:00.0,600,21432
2014,Chevrolet,Silverado 2500HD,LTZ,crew cab,automatic,1gc1kye86ef146080,az,46,white,gray,chapman corporate wholesale,46200,47000,2015-06-04T05:00:00-07:00,00:00.0,800,11150
2007,Buick,Lucerne,CX,sedan,automatic,1g4hp57247u146225,in,38,green,tan,chrysler capital,7200,8000,2015-06-04T03:10:00-07:00,10:00.0,800,46390
2007,Buick,Rendezvous,CX,suv,automatic,3g5da03l97s584011,nc,32,silver,gray,crossroads nissan of wake forest,2475,4200,2015-06-08T02:00:00-07:00,00:00.0,1725,141819
2007,BMW,5 Series,525i,sedan,automatic,wbane53577cw64720,ca,42,white,tan,trade in solutions irvine,8525,8700,2015-06-03T05:30:00-07:00,30:00.0,175,100723
2007,BMW,3 Series,328xi,sedan,,wbavc73507kp31097,pa,37,black,black,royal edition motors inc,9200,10400,2015-06-19T02:00:00-07:00,00:00.0,1200,74355
2007,,,,,automatic,wbahl83597dt09238,mi,35,black,tan,erhard bmw,6075,7900,2015-06-04T02:30:00-07:00,30:00.0,1825,153241
2007,Audi,A4,2.0T Avant quattro,wagon,automatic,waukf78ex7a239069,ne,35,gray,black,baxter volkswagen,9175,9900,2015-06-04T04:00:00-07:00,00:00.0,725,78705
2007,BMW,5 Series,530i,sedan,automatic,wbane73597cm50677,mi,43,silver,black,erhard bmw,10600,10900,2015-06-04T02:30:00-07:00,30:00.0,300,77404
2007,BMW,3 Series,335i,sedan,automatic,wbavb73577pa88305,ca,49,gray,black,san diego sports cars,7625,8750,2015-06-03T05:15:00-07:00,15:00.0,1125,123709
2007,BMW,3 Series,335xi,sedan,automatic,wbavd53527a007189,mi,37,gray,tan,erhard bmw,9950,12500,2015-06-04T02:30:00-07:00,30:00.0,2550,82275
2007,BMW,X5,3.0si,suv,automatic,4usfe43567ly79176,ga,33,white,tan,nalley bmw,12550,12600,2015-06-04T03:00:00-07:00,00:00.0,50,106689
2007,Audi,A8,L quattro,sedan,,waumv44e67n000661,pa,31,black,brown,r hollenshead auto sales inc,13250,14000,2015-06-05T02:00:00-07:00,00:00.0,750,97661
2007,Audi,Q7,4.2 quattro,suv,automatic,wa1av74l67d010502,ga,28,silver,black,atlanta auto distributors llc,13250,14000,2015-06-18T02:30:00-07:00,30:00.0,750,92949
2007,Cadillac,Escalade,Base,suv,automatic,1gyfk63897r165988,ca,35,black,black,san diego sports cars,11750,12250,2015-06-03T05:15:00-07:00,15:00.0,500,211658
2007,Chevrolet,Avalanche,LT,crew cab,automatic,3gnfk12357g169297,nc,21,black,silver,crossroads ford inc,12250,15100,2015-06-08T02:00:00-07:00,00:00.0,2850,129515
2007,Chevrolet,Silverado 2500HD Classic,LT3,crew cab,automatic,1gchk23d67f100151,ca,42,silver,gray,orange coast chrysler jeep dodge,22200,25000,2015-06-03T05:30:00-07:00,30:00.0,2800,128354
2007,Cadillac,CTS,Base,sedan,automatic,1g6dp577370178222,fl,39,black,black,chiefland chrys dodge jeep inc,5150,6900,2015-06-04T02:45:00-07:00,45:00.0,1750,110265
2007,Chevrolet,Silverado 1500,Work Truck,extended cab,automatic,2gcec19c671526857,tn,35,silver,gray,car request inc,9100,10200,2015-06-03T03:30:00-07:00,30:00.0,1100,131684
2007,Cadillac,Escalade,Base,suv,automatic,1gyfk63877r296076,tx,41,black,black,vroom,12000,14000,2015-06-04T04:00:00-07:00,00:00.0,2000,189307
2007,Cadillac,Escalade ESV,Base,suv,automatic,1gyfk66807r369607,va,33,off-white,beige,car web,19300,19400,2015-06-04T02:35:00-07:00,35:00.0,100,98888
2007,Chevrolet,Silverado 1500,LTZ,extended cab,automatic,2gcek19j171677400,ms,29,gray,black,gm financial,11600,13200,2015-06-11T03:30:00-07:00,30:00.0,1600,111284
2007,Cadillac,Escalade,Base,suv,automatic,1gyfk63897r259286,tx,33,white,beige,d&m leasing,16800,16900,2015-06-03T03:15:00-07:00,15:00.0,100,132570
2007,,,,,manual,3gnda33p97s618940,fl,32,white,beige,dyer chevrolet,5000,5600,2015-06-03T02:35:00-07:00,35:00.0,600,84903
2007,Chevrolet,Tahoe,LT,suv,automatic,1gnfk13007r204218,nc,31,gray,black,crossroads ford lincoln of sanford inc,13800,14200,2015-06-08T02:00:00-07:00,00:00.0,400,133460
2007,,,,,automatic,1gnec13j179103335,ca,43,gold,beige,onemain rem/delta dealer,14250,15750,2015-06-03T05:30:00-07:00,30:00.0,1500,114570
2007,Chevrolet,Tahoe,LS,suv,automatic,1gnfc13j37j112850,ca,49,gold,gray,apexcars net,12450,16000,2015-06-03T05:30:00-07:00,30:00.0,3550,84597
2007,Chrysler,Sebring,Base,sedan,automatic,1c3lc46k07n507227,ga,24,blue,gray,capital one auto finance,525,1900,2015-06-09T02:30:00-07:00,30:00.0,1375,243698
2007,Chrysler,Sebring,Base,sedan,automatic,1c3lc46k47n679583,nc,26,red,gray,boyd chevrolet buick gmc,3050,6100,2015-06-08T02:00:00-07:00,00:00.0,3050,89621
2007,Chevrolet,TrailBlazer,LS,suv,automatic,1gndt13s772285507,wi,28,blue,gray,zimbrick eastside,5400,6200,2015-06-03T03:00:00-07:00,00:00.0,800,110499
2007,Chrysler,Town and Country,Limited,minivan,automatic,2a8gp64lx7r359334,mn,38,blue,gray,coon rapids chrysler jeep dodge ram,3750,6500,2015-06-03T03:30:00-07:00,30:00.0,2750,102857
2007,Chrysler,300,Touring,sedan,automatic,2c3ka53g07h629277,tx,24,red,gray,huffines chrysler jeep dodge lewisville,2875,3800,2015-06-04T04:00:00-07:00,00:00.0,925,172402
2007,Ford,Explorer Sport Trac,XLT,crew cab,,1fmeu51k57ua27247,nc,27,gray,beige,boyd brothers ford inc,10450,10500,2015-06-08T02:00:00-07:00,00:00.0,50,112133
2007,,,,,automatic,1fmfk17557la63661,tx,37,gray,tan,tdaf remarketing,11450,13900,2015-06-03T03:15:00-07:00,15:00.0,2450,82415
2007,Ford,Explorer Sport Trac,XLT,crew cab,,1fmeu31kx7ua11503,nc,36,red,beige,crossroads ford inc,7075,8200,2015-06-08T02:00:00-07:00,00:00.0,1125,165940
2007,Dodge,Ram Pickup 2500,SLT,Mega Cab,automatic,3d3ks29a57g829539,co,24,white,gray,wells fargo dealer services,21700,23500,2015-06-10T05:00:00-07:00,00:00.0,1800,119631
2007,Dodge,Ram Pickup 2500,SLT,quad cab,automatic,1d7ks28c07j562357,tx,33,red,gray,fairway ford henderson,20900,22750,2015-06-03T03:00:00-07:00,00:00.0,1850,117174
2007,Ford,Edge,SEL Plus,suv,automatic,2fmdk39c67ba81858,ga,27,gold,beige,santander consumer,5575,5700,2015-06-09T02:30:00-07:00,30:00.0,125,164755
2007,Ford,Expedition,Eddie Bauer,suv,,1fmfu18567la84284,az,19,black,beige,chapman honda,10700,10900,2015-06-11T05:00:00-07:00,00:00.0,200,106263
2007,Dodge,Nitro,SXT,suv,automatic,1d8gt28k17w591133,fl,47,white,gray,mikes trucks & cars,7050,8400,2015-06-03T10:15:00-07:00,15:00.0,1350,63834
